SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
684,D4 MLCP,6943,Sudeep,Prasanth M,D4 MLCP ground floor DG room Fixed Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors."
685,K BLOCK,6945,Nandakumar CR,Praveen M P,Fire diesel engine battery charger not working need to be replaced.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Building Renovation- Services not allowed - Permission not given
686,D4 MLCP,6947,Sudeep,Jegathesh Johnson,PA - Talk Back System not working,2022-02-24,OPEN,,PA TALK BACK,"The existing PA system has all the staircase speakers connected in a single pair of twisted cable. Which we have recommended for upgrading it with 2 listed options. 1. Integrated Fire alarm amplifier panel with Telephone and Mic. (Pilot version to be implemented in H2 Block) 2. Upgrade all the speakers (with call button), cables(2*1.5sq.mm armoured cable) and panel(40Zone Talk-back panel with call button). (Pilot version implemented in E2 and E2 MLCP)"
687,D4 MLCP,6947,Sudeep,Jegathesh Johnson,PA - Talk Back System not working,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
688,K BLOCK,6949,Nandakumar CR,Praveen M P,Fire Booster pump not working need to be rectify.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Building Renovation- Services not allowed - Permission not given
689,D3 BLOCK,6951,Sudeep,Praveen M P,Fire hydrant shaft keys not available,2022-02-24,COMPLETED,,FIRE FIGHTING,
690,K BLOCK,6953,Nandakumar CR,Jegathesh Johnson,Fire FA system Troubles to be resolved.,2022-02-24,OPEN,,FIRE ALARM,"Loop has been damaged in client during demolition activity, SAFE has been following up on the status of loop damage from day one of the activity. No support/ update on restoring the loops with demolition crew from Building Executives."
691,D4 MLCP,6955,Sudeep,Praveen M P,Fire diesel engine diesel line leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Waiting for po
692,L6 BLOCK,6957,Dinakar Raj D,Jegathesh Johnson,Fire alarm system is in off condition (ground floor reception),2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Shared report
693,K BLOCK,6959,Nandakumar CR,Jegathesh Johnson,3rd floor Hooter not working need to be rectify.,2022-02-24,OPEN,,FIRE ALARM,"Loop has been damaged in client during demolition activity, SAFE has been following up on the status of loop damage from day one of the activity. No support/ update on restoring the loops with demolition crew from Building Executives."
694,K BLOCK,6961,Nandakumar CR,Jegathesh Johnson,3rd floor Hooter not working need to be rectify.,2022-02-24,OPEN,,FIRE ALARM,"Loop has been damaged in client during demolition activity, SAFE has been following up on the status of loop damage from day one of the activity. No support/ update on restoring the loops with demolition crew from Building Executives."
695,L7 MLCP,6963,Dinakar Raj D,Jegathesh Johnson,System trouble to be rectify and reprogramming has to be done,2022-02-24,COMPLETED,2022-05-20,FIRE ALARM,Trouble reduced from 14 to 3
696,F2 BLOCK,6965,Manjunath Rao,Jegathesh Johnson,"Staircase #1, GF, 1& 2nd Floor Hooter not working",2022-02-24,COMPLETED,2022-04-29,FIRE ALARM,Completed
697,F2 BLOCK,6967,Manjunath Rao,Jegathesh Johnson,"Staircase #2, Basement, 1st, 4th, 6th floors Speaker not working",2022-02-24,COMPLETED,2022-04-29,PA TALK BACK,Completed
698,F2 BLOCK,6969,Manjunath Rao,Jegathesh Johnson,"Staircase #3, 4th, GF floors MCP not working",2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,
699,F2 BLOCK,6971,Manjunath Rao,Jegathesh Johnson,"Staircase #3, basement & 4th floors speaker is not working",2022-02-24,COMPLETED,2022-04-29,PA TALK BACK,Completed
700,F2 BLOCK,6973,Manjunath Rao,Jegathesh Johnson,"Staircase #4, 4th, 7th, 8th floors MCP not working",2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,
701,H1 BLOCK,6975,Ranjith m,Jegathesh Johnson,GF FA/PA panel need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Offer has been shared for replacement on 11-01-2022. Waiting for PO.
702,F2 BLOCK,6977,Manjunath Rao,Jegathesh Johnson,"Staircase #4, basement, 3rd, 6th, 8th floors speaker is not working",2022-02-24,COMPLETED,2022-04-29,PA TALK BACK,Completed
703,H1 BLOCK,6979,Ranjith m,Praveen M P,S/W Sprinkler pump NRV leckage,2022-02-24,OPEN,,FIRE FIGHTING,
704,F2 BLOCK,6981,Manjunath Rao,Jegathesh Johnson,"Staircase #5, 4th, 6th, 10th MCP not working",2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,
705,F2 BLOCK,6983,Manjunath Rao,Jegathesh Johnson,"Staircase #6, 3rd, 8th, 10th, floors MCP not working",2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,
706,H1 BLOCK,6985,Ranjith m,Praveen M P,Ground floor YH point 04 pipe line leakage,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
707,F2 BLOCK,6987,Manjunath Rao,Jegathesh Johnson,"Staircase #6, 1st,3rd, 10th, floors Speaker not working",2022-02-24,COMPLETED,2022-04-29,PA TALK BACK,Completed
708,F2 BLOCK,6989,Manjunath Rao,Praveen M P,Sprinkler flow switch need to be check,2022-02-24,F/O SUPPORT REQUIRED,,SPRINKLER SYSTEM,
709,F2 BLOCK,6991,Manjunath Rao,Praveen M P,Hose box glass beeding need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
710,F2 BLOCK,6993,Manjunath Rao,Jegathesh Johnson,FAS Cable laying need to be properly,2022-02-24,COMPLETED,2022-06-03,FIRE ALARM,FAS cable laying work has been completed
711,F2 BLOCK,6995,Manjunath Rao,Praveen M P,Hose reel drum #5 need to be fix properly,2022-02-24,COMPLETED,2022-11-03,FIRE FIGHTING,Completed
712,F3 BLOCK,6997,Manjunath Rao,Praveen M P,Flow meter calibration need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
713,F3 BLOCK,6999,Manjunath Rao,Praveen M P,6 no's rusted sprinkler bulb need to be replace,2022-02-24,OPEN,,SPRINKLER SYSTEM,
714,F3 BLOCK,7001,Manjunath Rao,Jegathesh Johnson,2way talk back system listen mode need to be rectify,2022-02-24,OPEN,,PA TALK BACK,"Total Zones supported by F3 PA existing panel: 15 Zones Total speakers in F3 Block: 70 Speakers.  The existing PA system has all the staircase speakers connected in a single pair of twisted cable. Which we have recommended for upgrading it with 2 listed options.  1. Integrated Fire alarm amplifier panel with Telephone and Mic. (Pilot version to be implemented in H2 Block) 2. Upgrade all the speakers (with call button), cables(2*1.5sq.mm armoured cable) and panel(40Zone Talk-back panel with call button). (Pilot version implemented in E2 and E2 MLCP"
715,F3 BLOCK,7001,Manjunath Rao,Jegathesh Johnson,2way talk back system listen mode need to be rectify,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
716,F3 BLOCK,7003,Manjunath Rao,Praveen M P,All location Sprinkler flow switch need to be check,2022-02-24,OPEN,,SPRINKLER SYSTEM,
717,F3 BLOCK,7005,Manjunath Rao,Praveen M P,Common area Hose box glass beeding need to be replace,2022-02-24,COMPLETED,,HYDRANT SYSTEM,
718,F3 BLOCK,7007,Manjunath Rao,Jegathesh Johnson,Fire alarm system 22 no's Trouble,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,"Trouble reduced from 22 to 16, some device has been found faulty condition need to be change new device, same has been informed to the F/O."
719,F3 BLOCK,7009,Manjunath Rao,Praveen M P,Hydrant pump priming line NRV water passing need to rectify,2022-02-24,F/O SUPPORT REQUIRED,,HYDRANT SYSTEM,required thung plate from stock
720,F3 BLOCK,7011,Manjunath Rao,Praveen M P,B-wing DG pump gland leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
721,F3 BLOCK,7013,Manjunath Rao,Praveen M P,B-wing hydrant pump gland leakage,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
722,F3 BLOCK,7015,Manjunath Rao,Praveen M P,B-wing Sprinkler pump gland leakage,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
723,F2 BLOCK,7017,Manjunath Rao,Praveen M P,"Hose reel drum #4, leakage need to be rectify",2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
724,G1 BLOCK,7019,Satish,Praveen M P,LB 8 No's rusted sprinkler collar need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
725,G1 BLOCK,7021,Satish,Praveen M P,UB 6 No's rusted sprinkler collar need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
726,G1 BLOCK,7023,Satish,Praveen M P,Fire diesel engine (Kirloskar pump #1) body leakage need to rectify,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
727,G1 BLOCK,7025,Satish,Jegathesh Johnson,"MCP, Hooter & speaker programming need to be done at DG room",2022-02-24,OPEN,,FIRE ALARM,
728,G1 BLOCK,7027,Satish,Jegathesh Johnson,120 no's Troubles need to be rectify,2022-02-24,OPEN,,FIRE ALARM,"Ground Floor loop has been damaged by client during renovation activity, the client need to get the loop restored."
729,G1 BLOCK,7029,Satish,Jegathesh Johnson,2way talk back system listen mode need to be rectify,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
730,G1 BLOCK,7029,Satish,Jegathesh Johnson,2way talk back system listen mode need to be rectify,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
731,G1 BLOCK,7031,Satish,Praveen M P,Booster pump push button is not working,2022-02-24,OPEN,,FIRE FIGHTING,
732,G1 BLOCK,7033,Satish,Praveen M P,4 No's Sprinkler flow switch is not working,2022-02-24,OPEN,,SPRINKLER SYSTEM,
733,G1 BLOCK,7035,Satish,Praveen M P,Sprinkler ICV pipeline water leakage need to rectify,2022-02-24,COMPLETED,,SPRINKLER SYSTEM,
734,G1 BLOCK,7037,Satish,Praveen M P,ICV gangbell accessories need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
735,G1 BLOCK,7037,Satish,Praveen M P,ICV gangbell accessories need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
736,H1 BLOCK,7039,Ranjith m,Praveen M P,N/W Fire DG charger fuse need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
737,H1 BLOCK,7041,Ranjith m,Praveen M P,S/W Sprinkler pump gland plate damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
738,H1 BLOCK,7043,Ranjith m,Praveen M P,Fire DG diesel inlet pipe hose leckage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
739,H2 BLOCK,7045,Ranjith m,Jegathesh Johnson,FAS panel 74 troubles need to be clear,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,FO support- Required to replace the Failed devices.
740,H2 BLOCK,7047,Ranjith m,Praveen M P,A-wing hydrant pump gland plate damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
741,H2 BLOCK,7049,Ranjithm,Praveen M P,A wing sprinkler pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
742,H2 BLOCK,7051,Ranjith m,Praveen M P,A wing jockey pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
743,H2 BLOCK,7053,Ranjith m,Praveen M P,A wing test line water flow meter not working,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
744,H2 BLOCK,7055,Ranjithm,Praveen M P,B wing jockey pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
745,H2 BLOCK,7057,Ranjith m,Praveen M P,B wing hydrant pump gland plate damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
746,H2 BLOCK,7059,Ranjith m,Praveen M P,B wing test line water flow meter not working,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
747,L5 BLOCK,7061,Dinakar Raj D,Jegathesh Johnson,Troubles to be rectify,2022-02-24,OPEN,,FIRE ALARM,
748,L5 BLOCK,7063,Dinakar Raj D,Jegathesh Johnson,1st floor Sprinkler flow switch alarm activated,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,unable to access the device
749,L5 BLOCK,7063,Dinakar Raj D,Jegathesh Johnson,1st floor Sprinkler flow switch alarm activated,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,unable to access the device
